ConceptName,ConceptID,AllowedValues
Rivaroxaban_pattern,874,"True, False"
Apixaban_pattern,875,"True, False"
Edoxaban_pattern,876,"True, False"
Apixaban_dosage_parameters_count_pattern,878,NumericAllowedValues
Male_Context,1200,"True, False"
Context_Age_U18,1205,True
Age_50_59_1p_CCI_state,1300,NumericAllowedValues
Age_60_69_2p_CCI_state,1301,NumericAllowedValues
Age_70_79_3p_CCI_state,1302,NumericAllowedValues
Age_Big80_4p_CCI_state,1303,NumericAllowedValues
Dementia_1p_CCI_state,1304,NumericAllowedValues
Stroke_1p_CCI_state,1305,NumericAllowedValues
Cancer_2p_CCI_state,1307,NumericAllowedValues
Renal_2p_CCI_state,1308,NumericAllowedValues
Liver_3p_CCI_state,1309,NumericAllowedValues
Peptic_Ulcer_1p_CCI_state,1310,NumericAllowedValues
CHF_1p_CCI_state,1311,NumericAllowedValues
Diabetes_1p_CCI_state,1312,NumericAllowedValues
TIA_1p_CCI_state,1313,NumericAllowedValues
Vascular_1p_CCI_state,1314,NumericAllowedValues
MI_1p_CCI_state,1315,NumericAllowedValues
Ischemic_Heart_Disease_1p_CCI_state,1317,NumericAllowedValues
CCI_score_pattern,1399,NumericAllowedValues
ALP_Level_State,2000,"Low, Normal, Mild_High, Moderate_High, Very_High"
ALT_Level_State,2001,"Low, Normal, Mild_High, Moderate_High, Very_High"
AST_Level_State,2002,"Low, Normal, Mild_High, Moderate_High, Very_High"
Blood_Glucose_Level_State,2003,"Very_Low, Low, Normal, Pre_Diabetes, Diabetes, Very_High"
Blood_Pressure_Diastole_State,2004,"Low, Normal, Moderate, High"
Blood_Pressure_Systole_State,2005,"Low, Normal, Moderate, High"
Creatinine_Level_State,2006,"Very_Low, Low, Normal, High, Very_High"
GammaGT_Level_State,2007,"Low, Normal, High, Very_High"
HCT_Level_State,2008,"Low, Normal, High"
HGB_Level_State,2009,"Very_Low, Low, Normal, High, Very_High"
HbA1C_Level_State,2010,"Very_Low, Normal, Pre_Diabetes, Diabetes, Unbalanced"
Heart_Rate_State,2011,"Very_Low, Low, Normal, High, Very_High"
INR_Level_State,2012,"Too_Low, Normal, Therapeutic_Range, Too_High, Dangerous"
PLT_Level_State,2013,"Very_Low, Low, Normal, High"
PT_Level_State,2014,"Low, Normal, High"
RBC_Level_State,2015,"Low, Normal, High"
TSH_Level_State,2016,"Low, Normal, High"
WBC_Level_State,2017,"Very_Low, Low, Normal, High, Very_High"
aPTT_Level_State,2018,"Very_Short, Normal, Moderately_Prolonged, Very_Prolonged"
eGFR_State,2019,"Normal, Stage_2, Stage_3, Stage_4, Stage_5"
HGB_TREND,4000,"Dec, Same, Inc"
PLT_TREND,4001,"Dec, Same, Inc"
AST_TREND,4002,"Dec, Same, Inc"
ALT_TREND,4003,"Dec, Same, Inc"
Gamma_GT_TREND,4004,"Dec, Same, Inc"
PT_TREND,4005,"Dec, Same, Inc"
aPTT_TREND,4006,"Dec, Same, Inc"
INR_TREND,4007,"Dec, Same, Inc"
TSH_TREND,4008,"Dec, Same, Inc"
HbA1C_TREND,4009,"Dec, Same, Inc"
Blood_Glucose_TREND,4010,"Dec, Same, Inc"
ALP_TREND,4011,"Dec, Same, Inc"
Blood_Pressure_Systole_TREND,4012,"Dec, Same, Inc"
Blood_Pressure_Diastole_TREND,4013,"Dec, Same, Inc"
Heart_Rate_TREND,4014,"Dec, Same, Inc"
eGFR_TREND,4015,"Dec, Same, Inc"
Dabigatran_Etexilate_TREND,4016,"Dec, Same, Inc"
Rivaroxaban_TREND,4017,"Dec, Same, Inc"
Apixaban_TREND,4018,"Dec, Same, Inc"
Edoxaban_TREND,4019,"Dec, Same, Inc"
Atenolol_TREND,4020,"Dec, Same, Inc"
Bisoprolol_TREND,4021,"Dec, Same, Inc"
Carvedilol_TREND,4022,"Dec, Same, Inc"
Metoprolol_TREND,4023,"Dec, Same, Inc"
Propranolol_TREND,4024,"Dec, Same, Inc"
Atenolol,9000,"True, False"
Bisoprolol,9001,"True, False"
Carvedilol,9002,"True, False"
Metoprolol,9003,"True, False"
Propranolol,9004,"True, False"
Atenolol_chozek_hachomer,9200,"100mg, 50mg, 25mg"
Bisoprolol_chozek_hachomer,9201,"10mg, 5mg, 2.500mg, 1.250mg"
Carvedilol_chozek_hachomer,9202,"12.500mg, 6.250mg"
Metoprolol_chozek_hachomer,9203,"200mg, 190mg, 100mg, 10mg/1mL"
Propranolol_chozek_hachomer,9204,"160mg, 80mg, 40mg, 10mg"
Age_at_Test_Pattern,10010,NumericAllowedValues
Apixaban_state,11000,"Standard, Reduced"
Dabigatran_state,11001,"Standard, Reduced"
Rivaroxaban_state,11002,"Standard, Reduced"
Edoxaban_state,11003,"Standard, Reduced"
Atenolol_State,11004,"High, Normal, Low"
Bisoprolol_State,11005,"High, Normal, Low"
Carvedilol_State,11006,"High, Normal, Low"
Metoprolol_State,11007,"High, Normal, Low"
Propranolol_State,11008,"High, Normal, Low"
NOAC_QA_Helper_State,11009,True
Before_Visit_Apixaban_pattern,11020,"True, False"
Before_Visit_Dabigatran_pattern,11021,"True, False"
Before_Visit_Rivaroxaban_pattern,11022,"True, False"
Before_Visit_Edoxaban_pattern,11023,"True, False"
Before_Visit_Atenolol_pattern,11024,"True, False"
Before_Visit_Bisoprolol_pattern,11025,"True, False"
Before_Visit_Carvedilol_pattern,11026,"True, False"
Before_Visit_Metoprolol_pattern,11027,"True, False"
Before_Visit_Propranolol_pattern,11028,"True, False"
Apixaban_Dosage_ctxt,11030,"True, False"
State_Female,50011,True
State_Male,50012,True
State_Age_18_64,50021,True
State_Age_65Plus,50022,True
State_Age_40_64,50023,True
State_Female_18_64,50101,True
State_Male_18_64,50102,True
State_Female_65Plus,50103,True
State_Male_65Plus,50104,True
Context_Age_18_65,50124,True
Context_Age_65Plus,50127,True
State_Age_18_49,50129,True
Context_Age_18_49,50130,"True, False"
Context_Age_50_69,50131,True
Context_Age_70Plus,50132,True
State_Age_50_69,50133,True
State_Age_70Plus,50134,True
Female_18_65_ctxt,50192,"True, False"
Female_65Plus_ctxt,50193,"True, False"
Female_Context,50194,"True, False"
Female_U18_ctxt,50195,"True, False"
Ctxt_Female_18_64,50201,"True, False"
Ctxt_Male_18_64,50202,"True, False"
Ctxt_Female_65Plus,50203,"True, False"
Ctxt_Male_65Plus,50204,"True, False"
Ctxt_Female,50211,"True, False"
Ctxt_Male,50212,"True, False"
Ctxt_Age_18_64,50221,"True, False"
Ctxt_Age_65Plus,50222,"True, False"
Ctxt_Age_40_64,50223,"True, False"
Male_18_65_ctxt,50287,"True, False"
Male_65Plus_ctxt,50288,"True, False"
State_Male_U18,50407,True
State_Age_70Plus_Female,1000000,True
Female_70Plus_ctxt,1000002,"True, False"
UREA_State,4030114,Placeholder
Blood_Glucose_State,4030118,"Hypoglycemia, Normal, Pre-Diabetes, Diabetes"
HbA1C_State,4030119,"Normal, Pre-Diabetes, Diabetes"
